platform,username,profile_url,normalized_username,exclusion_reason,exclusion_reasons,query_ids,provider,exclusion_registry_match
instagram,kotova.live,https://www.instagram.com/kotova.live/,kotova.live,source_exclusion,"[""phase_a_source"",""phase_a_source_url""]","[""fashion_style_01""]",fixture,"{""canonical_profile_url"":""https://www.instagram.com/kotova.live/"",""normalized_username"":""kotova.live"",""reasons"":[""phase_a_source"",""phase_a_source_url""],""source_values"":[""https://www.instagram.com/kotova.live"",""https://www.instagram.com/kotova.live/"",""kotova.live""]}"
instagram,__aparina,https://www.instagram.com/__aparina/,__aparina,source_exclusion,"[""historical_alias""]","[""ugc_creator_01""]",fixture,"{""canonical_profile_url"":""https://www.instagram.com/__aparina/"",""normalized_username"":""__aparina"",""reasons"":[""historical_alias""],""source_values"":[""__aparina""]}"
instagram,nikaanow,https://www.instagram.com/nikaanow/,nikaanow,source_exclusion,"[""phase_a_source"",""phase_a_source_url"",""verified_replacement""]","[""ugc_creator_01""]",fixture,"{""canonical_profile_url"":""https://www.instagram.com/nikaanow/"",""normalized_username"":""nikaanow"",""reasons"":[""phase_a_source"",""phase_a_source_url"",""verified_replacement""],""source_values"":[""https://www.instagram.com/nikaanow"",""https://www.instagram.com/nikaanow/"",""nikaanow""]}"
instagram,aparina_,https://www.instagram.com/aparina_/,aparina_,source_exclusion,"[""rejected_false_lead""]","[""ugc_creator_01""]",fixture,"{""canonical_profile_url"":""https://www.instagram.com/aparina_/"",""normalized_username"":""aparina_"",""reasons"":[""rejected_false_lead""],""source_values"":[""aparina_""]}"
instagram,nike,https://www.instagram.com/nike/,nike,source_exclusion,"[""brand_reference"",""phase_a_source"",""phase_a_source_url""]","[""reels_integrations_01""]",fixture,"{""canonical_profile_url"":""https://www.instagram.com/nike/"",""normalized_username"":""nike"",""reasons"":[""brand_reference"",""phase_a_source"",""phase_a_source_url""],""source_values"":[""https://www.instagram.com/nike"",""https://www.instagram.com/nike/"",""nike""]}"
instagram,apple,https://www.instagram.com/apple/,apple,source_exclusion,"[""brand_reference"",""phase_a_source"",""phase_a_source_url""]","[""reels_integrations_01""]",fixture,"{""canonical_profile_url"":""https://www.instagram.com/apple/"",""normalized_username"":""apple"",""reasons"":[""brand_reference"",""phase_a_source"",""phase_a_source_url""],""source_values"":[""apple"",""https://www.instagram.com/apple"",""https://www.instagram.com/apple/""]}"
tiktok,noninstagram.creator,https://www.instagram.com/noninstagram.creator/,noninstagram.creator,unsupported_platform,[],"[""ugc_creator_01""]",fixture,
instagram,bad user!,https://example.com/not-instagram,,malformed_discovery_record,"[""missing or malformed Instagram username"",""missing or malformed Instagram profile URL"",""provider identity confidence was clamped to 0-1"",""followers is invalid or a negative sentinel""]","[""fashion_style_01""]",fixture,
instagram,,,,malformed_discovery_record,"[""provider discovery item is not an object""]",[],fixture,
instagram,ANNA.STYLE.DAILY,https://instagram.com/ANNA.STYLE.DAILY/?ref=duplicate,anna.style.daily,duplicate_merged,"[""merged_into:anna.style.daily""]","[""fashion_style_01""]",fixture,
instagram,ugc_by_lena,https://www.instagram.com/ugc_by_lena/?utm_source=duplicate,ugc_by_lena,duplicate_merged,"[""merged_into:ugc_by_lena""]","[""ugc_creator_01""]",fixture,
instagram,private.demo.creator,https://www.instagram.com/private.demo.creator/,private.demo.creator,insufficient_data,"[""profile_not_public"",""profile_not_accessible"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""fashion_style_01""]",fixture,
instagram,insufficient.posts,https://www.instagram.com/insufficient.posts/,insufficient.posts,insufficient_data,"[""insufficient_engagement_data:5<6""]","[""fashion_style_01""]",fixture,
instagram,partial.engagement,https://www.instagram.com/partial.engagement/,partial.engagement,insufficient_data,"[""insufficient_engagement_data:5<6""]","[""reels_integrations_01""]",fixture,
instagram,stale.creator,https://www.instagram.com/stale.creator/,stale.creator,ineligible,"[""latest_post_older_than_90_days"",""recent_evidence_url_missing""]","[""fashion_style_01""]",fixture,
instagram,zero.followers,https://www.instagram.com/zero.followers/,zero.followers,ineligible,"[""followers_missing_or_non_positive""]","[""ugc_creator_01""]",fixture,
instagram,missing.profile.url,https://www.instagram.com/missing.profile.url/,missing.profile.url,ineligible,"[""provider_profile_url_missing_or_malformed""]","[""fashion_style_01""]",fixture,
instagram,identity.conflict,https://www.instagram.com/identity.conflict/,identity.conflict,needs_review,"[""identity_conflict""]","[""fashion_style_01""]",fixture,
instagram,no.content.signal,https://www.instagram.com/no.content.signal/,no.content.signal,ineligible,"[""target_content_evidence_missing""]","[""beauty_lifestyle_01""]",fixture,
instagram,missing.post.urls,https://www.instagram.com/missing.post.urls/,missing.post.urls,ineligible,"[""recent_evidence_url_missing""]","[""marketplace_reviews_01""]",fixture,
instagram,mystery.inaccessible,https://www.instagram.com/mystery.inaccessible/,mystery.inaccessible,insufficient_data,"[""profile_not_public"",""profile_not_accessible"",""followers_missing_or_non_positive"",""insufficient_engagement_data:0<6"",""last_post_date_missing"",""target_content_evidence_missing"",""post_format_data_missing"",""recent_evidence_url_missing""]","[""fashion_style_01""]",fixture,
